RA;ED1;ED2;ED2A;ED3;ED4/5;ED Total;Prova;Nota da Prova;Nota do Estudo;NOTA FINAL
2426150;1;1;0.9;0.9;0.85;0.93;0.914;6.855;2.325;9.18
2426099;0.85;0.95;0.95;0.95;0.95;0.93;0.8;6;2.325;8.325
1621169;0.9;0.95;1;0.85;0.9;0.92;0.799;5.9925;2.3;8.2925
1926251;0.7;0.65;0.92;0.75;0.55;0.714;0.772;5.79;1.785;7.575
6124040;0.99;0.85;0;0.99;0.95;0.756;0.882;6.615;1.89;8.505
1926261;1;1;1;0.9;0.87;0.954;0.794;5.955;2.385;8.34
1926153;1;1;1;1;0.85;0.97;0.9415;7.06125;2.425;9.48625
1926003;1;0.99;0.99;0.99;0.9;0.974;0.969;7.2675;2.435;9.7025
5126033;0.9;0.85;1;1;0.99;0.948;0.8565;6.42375;2.37;8.79375
1926116;0.85;0.95;0.95;0.95;0.95;0.93;0.856;6.42;2.325;8.745
1926204;0.9;0.99;1;0.99;0.9;0.956;0.892;6.69;2.39;9.08
1926247;0.9;0.99;1;0.99;0.9;0.956;0.809;6.0675;2.39;8.4575
2326003;0;0;0;0;0;0;0.8325;6.24375;0;6.24375
1620010;0.9;0.95;1;0.85;0.9;0.92;0.9;6.75;2.3;6.42
2326066;1;1;1;1;0.95;0.99;0.884;6.63;2.475;6.405
1926306;0.98;1;1;1;1;0.996;0.978;7.335;2.49;9.825
1926177;0.98;0.95;1;1;1;0.986;0.76;5.7;2.465;8.165
1926129;1;0.85;0.85;0.85;0.7;0.85;0.7845;5.88375;2.125;8.00875
1621175;0.9;0.95;1;0.85;0.9;0.92;0.797;5.9775;2.3;8.2775
1926300;0.98;0.95;1;1;1;0.986;0.89;6.675;2.465;9.14
2326140;0.9;0.85;1;1;0.99;0.948;0.8615;6.46125;2.37;8.83125
1926305;0;0;0;0;0;0;0;0;0;0
1926188;0.99;0;0.96;0.98;0.98;0.782;0.845;6.3375;1.955;8.2925
2326139;1;0.91;0.99;1;0.7;0.92;0.8275;6.20625;2.3;8.50625
1621174;0.85;1;1;0.99;0.95;0.958;0.8825;6.61875;2.395;9.01375
1926027;0.95;1;1;1;0.84;0.958;0.903;6.7725;2.395;9.1675
1926040;0.95;1;1;1;0.84;0.958;0.707;5.3025;2.395;7.6975
1721144;0.85;1;1;0.99;0.95;0.958;0.783;5.8725;2.395;8.2675
2426139;0.9;0.99;1;0.99;0.9;0.956;0.711;5.3325;2.39;7.7225
2326016;1;1;0.98;1;0.92;0.98;0.99;7.425;2.45;9.875
1926168;0.98;0.9;0.975;0.95;0.99;0.959;0.662;4.965;2.3975;7.3625
1926303;0.99;0.85;0;0.99;0.95;0.756;0.7485;5.61375;1.89;7.50375
1626033;1;1;0.95;1;1;0.99;0.862;6.465;2.475;8.94
2426090;1;0.84;0.96;1;0.85;0.93;1;7.5;2.325;9.825
